type,title,director,cast,country,release_year,rating,duration,genre
Movie,Nothing to Lose 2,Alexandre Avancini,"Petrônio Gontijo, Day Mesquita, Beth Goulart, Dalton Vigh, Eduardo Galvão, César Mello, Leonardo Franco, Raphael Viana, Otávio Martins",Brazil,2019,PG-13,97 min,"Dramas, Faith & Spirituality, International Movies"
Movie,NOVA: Bird Brain,,Craig Sechler,United States,2017,TV-G,53 min,"Children & Family Movies, Documentaries"
Movie,NOVA: Black Hole Apocalypse,Rushmore DeNooyer,Janna Levin,United States,2018,TV-G,113 min,Documentaries
Movie,NOVA: Building Chernobyl's MegaTomb,Martin Gorst,Eric Meyers,United States,2017,TV-PG,53 min,Documentaries
Movie,NOVA: Chinese Chariot Revealed,Giulia Clark,Eric Meyers,United States,2017,TV-PG,54 min,Documentaries
Movie,NOVA: Day the Dinosaurs Died,Sarah Holt,Craig Sechler,United States,2017,TV-PG,53 min,Documentaries
Movie,NOVA: Death Dive to Saturn,Terri Randall,Craig Sechler,United States,2017,TV-G,54 min,Documentaries
Movie,NOVA: Decoding the Weather Machine,Doug Hamilton,Jay O. Sanders,United States,2018,TV-14,113 min,Documentaries
Movie,NOVA: Eclipse Over America,Martin Gorst,,United States,2017,TV-G,53 min,Documentaries
Movie,NOVA: Extreme Animal Weapons,Peter Fison,Doug Averill,United States,2017,TV-PG,53 min,Documentaries
Movie,NOVA: First Face of America,Graham Townsley,Jay O. Sanders,United States,2018,TV-PG,53 min,Documentaries
Movie,NOVA: Holocaust Escape Tunnel,"Paula Apsell, Kirk Wolfinger",,United States,2017,TV-14,54 min,Documentaries
Movie,NOVA: Killer Floods,,Craig Sechler,United States,2017,TV-PG,54 min,Documentaries
Movie,NOVA: Killer Hurricanes,Oliver Twinch,Craig Sechler,United States,2017,TV-PG,52 min,Documentaries
Movie,NOVA: Killer Volcanoes,Oliver Twinch,Craig Sechler,United States,2017,TV-PG,54 min,Documentaries
Movie,NOVA: Poisoned Water,Llewellyn M. Smith,Joe Morton,United States,2017,TV-PG,54 min,Documentaries
Movie,NOVA: Prediction by the Numbers,Daniel McCabe,Jay O. Sanders,United States,2018,TV-G,53 min,Documentaries
Movie,NOVA: Secrets of the Shining Knight,Peter Yost,Jay O. Sanders,United States,2017,TV-PG,53 min,Documentaries
Movie,NOVA: Thai Cave Rescue,Tom Stubberfield,,United States,2018,TV-PG,53 min,Documentaries
Movie,NOVA: The Impossible Flight,"Noel Dockstader, Quinn Kanaly",,United States,2018,TV-PG,113 min,Documentaries
Movie,Nova: Ultimate Mars Challenge,Gail Willumsen,Lance Lewman,United States,2012,TV-G,53 min,Movies
TV Show,November 13: Attack on Paris,,,France,2018,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows"
Movie,November Criminals,Sacha Gervasi,"Ansel Elgort, Chloë Grace Moretz, David Strathairn, Catherine Keener, Terry Kinney, Cory Hardrict, Philip Ettinger, Danny Flaherty, Victor Williams, Tessa Albertson",United States,2017,PG-13,86 min,"Dramas, Thrillers"
Movie,Now and Then,Lesli Linka Glatter,"Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith, Gaby Hoffmann, Demi Moore, Ashleigh Aston Moore, Rita Wilson, Janeane Garofalo, Hank Azaria, Bonnie Hunt, Cloris Leachman",United States,1995,PG-13,102 min,Dramas
Movie,Now More Than Ever: The History of Chicago,Peter Pardini,Chicago,United States,2016,TV-MA,114 min,"Documentaries, Music & Musicals"
