type,title,director,cast,country,release_year,rating,duration,genre
Movie,Todd Barry: Spicy Honey,Jay Chapman,Todd Barry,United States,2017,TV-MA,61 min,Stand-Up Comedy
Movie,Todd Glass: Act Happy,Scott Moran,Todd Glass,United States,2018,TV-MA,63 min,Stand-Up Comedy
Movie,Todd Glass: Stand-Up Special,Jay Chapman,Todd Glass,United States,2012,TV-MA,46 min,Stand-Up Comedy
Movie,Todo lo que sería Lucas Lauriente,"Raúl Campos, Jan Suter",Lucas Lauriente,Argentina,2018,TV-MA,78 min,Stand-Up Comedy
Movie,Todo Sobre El Asado,"Mariano Cohn, Gastón Duprat",El Negro Álvarez,Argentina,2016,TV-MA,86 min,"Documentaries, International Movies"
TV Show,Together,,"Jeanette Aw, Dai Xiangyu, Elvin Ng, Eelyn Kok, Zheng Geping, Aileen Tan, Zhou Ying, Hong Hui Fang, Zhang Zhenhuan",Singapore,2009,TV-14,1 Season,"International TV Shows, TV Dramas"
Movie,Together For Eternity,Sooraj R. Barjatya,"Salman Khan, Karisma Kapoor, Saif Ali Khan, Tabu, Sonali Bendre, Mohnish Bahl, Reema Lagoo, Mahesh Thakur, Neelam, Alok Nath",India,1999,TV-G,176 min,"Dramas, International Movies, Music & Musicals"
Movie,Toilet: Ek Prem Katha,Shree Narayan Singh,"Akshay Kumar, Bhumi Pednekar, Divyendu Sharma, Atul Srivastava, Anupam Kher, Ayesha Raza Mishra, Mukesh S Bhatt, Shubha Khote, Sudhir Pandey",India,2017,TV-14,145 min,"Comedies, Dramas, International Movies"
Movie,Tokyo Idols,Kyoko Miyake,,"United Kingdom, Canada, Japan",2017,TV-14,89 min,"Documentaries, International Movies, Music & Musicals"
TV Show,Tokyo Trial,,"Marcel Hensema, Paul Freeman, Irrfan Khan, Stacy Keach, Michael Ironside, Stephen McHattie, Shinya Tsukamoto","Canada, Japan, Netherlands",2017,TV-MA,1 Season,"International TV Shows, TV Dramas"
Movie,Toll Booth,Tolga Karaçelik,"Büşra Pekin, Nur Aysan, Ruhi Sarı, Nergis Öztürk, Nadir Sarıbacak, Serkan Ercan, Sermet Yeşil, Enes Mazak, Zafer Diper",Turkey,2010,TV-MA,98 min,"Dramas, Independent Movies, International Movies"
Movie,Tom and Jerry: The Magic Ring,Phil Roman,"Richard Kind, Dana Hill, Anndi McAfee, Tony Jay, Rip Taylor, Henry Gibson",,2001,TV-Y7,60 min,"Children & Family Movies, Comedies"
Movie,Tom Papa Live in New York City,Rob Zombie,Tom Papa,United States,2011,TV-14,57 min,Stand-Up Comedy
Movie,Tom Papa: You're Doing Great!,Gregory Jacobs,Tom Papa,United States,2020,TV-14,60 min,Stand-Up Comedy
Movie,Tom Segura: Ball Hog,Rami Hachache,Tom Segura,United States,2020,TV-MA,70 min,Stand-Up Comedy
Movie,Tom Segura: Completely Normal,Jay Chapman,Tom Segura,United States,2014,TV-MA,74 min,Stand-Up Comedy
Movie,Tom Segura: Disgraceful,Jay Karas,Tom Segura,United States,2018,TV-MA,71 min,Stand-Up Comedy
Movie,Tom Segura: Mostly Stories,Jay Karas,Tom Segura,United States,2016,TV-MA,74 min,Stand-Up Comedy
Movie,"Tomasz Jachimek, Jacek Stramik Laugh at Live",,"Tomasz Jachimek, Jacek Stramik",,2016,TV-MA,63 min,Stand-Up Comedy
Movie,Tomorrow Never Dies,Roger Spottiswoode,"Pierce Brosnan, Jonathan Pryce, Michelle Yeoh, Teri Hatcher, Joe Don Baker, Judi Dench, Ricky Jay, Götz Otto, Desmond Llewelyn, Vincent Schiavelli","United Kingdom, United States",1997,PG-13,119 min,Action & Adventure
TV Show,Tomorrow with You,,"Shin Mina, Lee Je-hoon, Kim Ye-won, Cho Han-cheul, Baek Hyeon-jin, Kang Ki-doong, Park Joo-hee, Oh Gwang-rok",South Korea,2017,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows"
TV Show,Tong: Memories,,"Lee Hak Joo, Ji-an Kim, Jae-yoon Lee, Heo Ji Won, Yang Hak Jin, Choi Yeong Min",South Korea,2016,TV-MA,1 Season,"International TV Shows, Korean TV Shows, TV Action & Adventure"
Movie,Tony Parker: The Final Shot,Florent Bodin,Tony Parker,France,2020,TV-14,99 min,"Documentaries, International Movies, Sports Movies"
Movie,Tony Robbins: I Am Not Your Guru,Joe Berlinger,Tony Robbins,United States,2016,TV-MA,117 min,Documentaries
Movie,Too Handsome to Handle,Sabrina Rochelle Kalangie,"Ari Irham, Nikita Willy, Calvin Jeremy, Rachel Amanda, Dimas Dinang, Tarra Budiman, Marcellino Lafrand, Iis Dahlia",Indonesia,2019,TV-14,106 min,"Comedies, Dramas, International Movies"
TV Show,Too Hot to Handle,,Desiree Burch,United States,2020,TV-MA,1 Season,"Reality TV, Romantic TV Shows"
Movie,Too Young the Hero,Buzz Kulik,"Ricky Schroder, Jon DeVries, Debra Mooney, Mary-Louise Parker, Christopher Curry, Rick Warner, Tom Wood",United States,1988,TV-MA,94 min,Dramas
TV Show,Toon,,"Joep Vermolen, Amy van der Weerden, Loulou Hameleers, Robbert Bleij",Netherlands,2017,TV-MA,2 Seasons,"International TV Shows, TV Comedies"
Movie,Tootsies & The Fake,Kittiphak Thonguam,"Araya A. Hargate, Paopetch Charoensook, Thongkanthom Thongchai, Ratthanant Janyajirawong, Pattarasaya Kreuasuwansri, Gunn Svasti Na Ayudhya, Kritsanapoom Pibulsonggram, Keetapat Pongruea",Thailand,2019,TV-MA,108 min,"Comedies, International Movies, LGBTQ Movies"
TV Show,Top 10 Secrets and Mysteries,,,"United Kingdom, United States, Czech Republic",2018,TV-14,1 Season,"British TV Shows, Docuseries, Science & Nature TV"
TV Show,Top Boy,,"Ashley Walters, Kane Robinson, Micheal Ward, Shone Romulus, Simbiatu Ajikawo, Lisa Dwan, David Omoregie, Jasmine Jobson, Hope Ikpoku Jr., Araloyin Oshunremi, Keiyon Cook",,2019,TV-MA,1 Season,"British TV Shows, Crime TV Shows, International TV Shows"
TV Show,Top Grier,,,United States,2018,TV-MA,3 Seasons,Reality TV
Movie,Tope: The Bait,Buddhadev Dasgupta,"Sudipto Chattopadhyay, Chandan Roy Sanyal, Kajal Kumari, Ananya Chatterjee, Paoli Dam, Malobika Banerjee, Pawan Kanodia",India,2016,TV-14,87 min,"Dramas, Independent Movies, International Movies"
TV Show,Toradora!,,"Rie Kugimiya, Junji Majima, Yui Horie, Hirofumi Nojima, Eri Kitamura, Sayaka Ohara, Ai Nonaka, Momoko Ishikawa, Hiroyuki Yoshino, Kazuyuki Okitsu, Rie Tanaka, Yuhko Kaida, Saori Goto",Japan,2008,TV-14,1 Season,"Anime Series, International TV Shows, Romantic TV Shows"
Movie,Torbaaz,Girish Malik,"Sanjay Dutt, Nargis Fakhri, Rahul Dev, Priyanka Verma, Kuwaarjeet Chopraa, Aishan Jawaid Malik, Rahul Mittra, Gavie Chahal, Humayun Shams Khan, Babrak Akbari",India,2020,TV-MA,133 min,"Dramas, International Movies, Sports Movies"
Movie,Toro,Kike Maíllo,"Mario Casas, Luis Tosar, José Sacristán, Claudia Canal, José Manuel Poga, Ingrid García Jonsson, Luichi Macías",Spain,2016,TV-MA,106 min,"Dramas, International Movies, Thrillers"
Movie,Tortilla Soup,Maria Ripoll,"Hector Elizondo, Jacqueline Obradors, Elizabeth Peña, Tamara Mello, Nikolai Kinski, Raquel Welch, Joel Joan, Paul Rodriguez, Constance Marie, Julio Oscar Mechoso",United States,2001,PG-13,104 min,"Comedies, Dramas, Romantic Movies"
TV Show,Total Drama,,"Clé Bennett, Christian Potenza, Scott McCord, Rachel Wilson, Drew Nelson, Stephanie Anne Mills, Novie Edwards, Megan Fahlenbock, Brian Foud, Emilie-Claire Barlow, Phillip David Lewis, Katie Crown, Sarah Gadon, Peter Oldring, Kristin Fairlie, Dan Petronijevic, Adam Greydon Reid","Canada, United States, France",2015,TV-PG,5 Seasons,"Kids' TV, TV Comedies"
Movie,Total Frat Movie,Warren P. Sonoda,"Justin Deeley, Alex House, Steven Yaffee, Rebecca Dalton, Ann Pirvu, Nick Bateman, Tom Green, Jamie Johnston",United States,2016,NR,94 min,Comedies
Movie,Total Recall,Paul Verhoeven,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Michael Ironside, Ronny Cox, Marshall Bell, Michael Champion, Mel Johnson Jr., Roy Brocksmith, Rosemary Dunsmore","United States, Mexico",1990,R,114 min,"Action & Adventure, Sci-Fi & Fantasy"
Movie,Tottaa Pataaka Item Maal,Aditya Kripalani,"Shalini Vatsa, Chitrangada Chakraborty, Vinay Sharma, Sonal Joshi, Kritika Pande",India,2018,TV-MA,107 min,"Dramas, Independent Movies, International Movies"
TV Show,Towies,,,,2016,TV-MA,1 Season,"International TV Shows, Reality TV"
TV Show,Toy Boy,,"Jesús Mosquera, Cristina Castaño, María Pedraza, José de la Torre, Carlo Costanzia, Raudel Raúl Martiato, Juanjo Almeida, José Manuel Seda, Álex Gadea, Javier Mora, Pedro Casablanc, Elisa Matilla, María Pujalte, Adelfa Calvo",Spain,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
Movie,Tracers,Daniel Benmayor,"Luciano Acuna Jr., Adam Rayner, Marie Avgeropoulos, Rafi Gavron, Taylor Lautner, Sam Medina, Amirah Vann, Johnny M. Wu, Josh Yadon, Christian Steel",United States,2015,PG-13,94 min,Action & Adventure
Movie,Tracy Morgan: Staying Alive,Ryan Polito,Tracy Morgan,United States,2017,TV-MA,59 min,Stand-Up Comedy
Movie,Traffic Signal,Madhur Bhandarkar,"Kunal Khemu, Neetu Chandra, Konkona Sen Sharma, Upendra Limaye, Ranvir Shorey, Sudhir Mishra, Nassar Abdulla, Manoj Joshi",India,2007,TV-MA,130 min,"Dramas, Independent Movies, International Movies"
TV Show,Trailer Park Boys,,"Mike Smith, John Paul Tremblay, Robb Wells, John Dunsworth, Patrick Roach, Cory Bowles, Lucy Decoutere, Barrie Dunn, Sarah Dunsworth, Jeanna Harrison, Michael Jackson, Garry James, Tyrone Parsons, Shelley Thompson, Jonathan Torrens",Canada,2018,TV-MA,12 Seasons,"Classic & Cult TV, Crime TV Shows, International TV Shows"
Movie,Trailer Park Boys Live at the North Pole,"Mike Smith, John Paul Tremblay, Robb Wells","Mike Smith, John Paul Tremblay, Robb Wells, John Dunsworth, Pat Roach, Jacob Rolfe, Marguerite McNeil, Doug Barron, Paul Doucette, Gareth Meagher",Canada,2014,TV-MA,89 min,Movies
Movie,Trailer Park Boys Live In F**kin' Dublin,"Mike Smith, John Paul Tremblay, Robb Wells","Mike Smith, John Paul Tremblay, Robb Wells, Pat Roach",Canada,2014,TV-MA,81 min,Movies
Movie,Trailer Park Boys: Countdown to Liquor Day,Mike Clattenburg,"Robb Wells, John Paul Tremblay, Mike Smith, John Dunsworth, Jonathan Torrens, Patrick Roach, Lucy Decoutere, Sarah Dunsworth, Barrie Dunn, Tyrone Parsons",Canada,2009,R,102 min,"Comedies, Cult Movies"
Movie,"Trailer Park Boys: Drunk, High and Unemployed: Live in Austin","Gary Howsam, Mike Smith, John Paul Tremblay, Robb Wells","Mike Smith, John Paul Tremblay, Robb Wells, John Dunsworth, Pat Roach, Tom Green, Verne Troyer, Jonathan Torrens",Canada,2015,TV-MA,74 min,"Comedies, International Movies"
TV Show,Trailer Park Boys: Out of the Park: Europe,,"Mike Smith, John Paul Tremblay, Robb Wells",Canada,2016,TV-MA,1 Season,"International TV Shows, TV Comedies"
TV Show,Trailer Park Boys: Out of the Park: USA,,"John Paul Tremblay, Robb Wells, Mike Smith, Tom Mayhue, Alex Lifeson, Sebastian Bach, Tommy Chong, Dennis Rodman, Tony Hawk, Verne Troyer, Tom Green, Riley Hawk",,2017,TV-MA,1 Season,"International TV Shows, TV Comedies"
Movie,Trailer Park Boys: Say Goodnight to the Bad Guys,Mike Clattenburg,"John Paul Tremblay, Robb Wells, John Dunsworth, Patrick Roach, Lucy Decoutere, Sarah Dunsworth, Barrie Dunn, Jeanna Harrison, Shelley Thompson, Tyrone Parsons",Canada,2008,TV-MA,47 min,"Comedies, Cult Movies"
TV Show,Trailer Park Boys: The Animated Series,"Norm Hiscock, Gary Howsam, Mike Smith, John Paul Tremblay, Robb Wells","Mike Smith, John Paul Tremblay, Robb Wells, John Dunsworth, Pat Roach, Cory Bowles, Jacob Rolfe, Tyrone Parsons, Sarah Dunsworth, Jeanna Harrison, Marguerite McNeil",Canada,2020,TV-MA,2 Seasons,TV Comedies
Movie,Trailer Park Boys: The Movie,Mike Clattenburg,"Robb Wells, John Paul Tremblay, Mike Smith, Lucy Decoutere, Lydia Lawson-Baird, Cory Bowles, Michael Jackson, Gord Downie, Alex Lifeson, Gerry Dee, Glen Grant, Eugene Clark, Barrie Dunn, John Dunsworth, Patrick Roach",Canada,2006,R,95 min,"Comedies, Cult Movies"
Movie,Trailer Park Boys: Xmas Special,Mike Clattenburg,"John Paul Tremblay, Robb Wells, John Dunsworth, Patrick Roach, Lucy Decoutere, Sarah Dunsworth, Cory Bowles, Barrie Dunn, Michael Jackson, Shelley Thompson",Canada,2004,TV-MA,46 min,Movies
Movie,Train of the Dead,Sukum Maetawanitch,"Kett Thantup, Savika Chaiyadej, Sura Theerakon, Chaleumpol Tikumpornteerawong, Yarichada Wattanawongsri, Phoomjai Tangsanga, Warot Pitakanonda, Saowaluck Siriaran",Thailand,2007,TV-MA,88 min,"Horror Movies, International Movies"
Movie,Train to Busan,Sang-ho Yeon,"Gong Yoo, Yu-mi Jung, Dong-seok Ma, Soo-an Kim, Woo Shik Choi, Sohee, Eui-sung Kim",South Korea,2016,TV-MA,118 min,"Action & Adventure, Horror Movies, International Movies"
Movie,Trainspotting,Danny Boyle,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd, Robert Carlyle, Kelly Macdonald, Peter Mullan, James Cosmo, Eileen Nicholas, Susan Vidler, Pauline Lynch, Shirley Henderson",United Kingdom,1996,R,94 min,"Comedies, Cult Movies, Dramas"
Movie,Traitor,Jeffrey Nachmanoff,"Don Cheadle, Guy Pearce, Saïd Taghmaoui, Neal McDonough, Alyy Khan, Archie Panjabi, Raad Rawi, Jeff Daniels, Lorena Gale, Simon Reynolds, Jonathan Walker, Mozhan Marnò, Tom Barnett, Scali Delpeyrat",United States,2008,PG-13,114 min,"Dramas, Thrillers"
TV Show,Traitors,,"Emma Appleton, Michael Stuhlbarg, Luke Treadaway, Keeley Hawes, Brandon P. Bell, Matt Lauria, Jamie Blackley, David Hargreaves, Sam Hoare, Simon Kunz, Greg McHugh, Stephen Campbell Moore, Cara Horgan",United Kingdom,2019,TV-MA,1 Season,"British TV Shows, International TV Shows, TV Dramas"
Movie,Tramps,Adam Leon,"Callum Turner, Grace Van Patten, Michal Vondel, Mike Birbiglia, Margaret Colin, Louis Cancelmi, Rachel Zeiger-Haag, Dane Martinez",United States,2017,TV-MA,83 min,"Dramas, Independent Movies, Romantic Movies"
Movie,Transcendence,Wally Pfister,"Johnny Depp, Rebecca Hall, Morgan Freeman, Paul Bettany, Cillian Murphy, Kate Mara, Cole Hauser, Clifton Collins Jr.","United Kingdom, China, United States",2014,PG-13,119 min,"Sci-Fi & Fantasy, Thrillers"
TV Show,Transfers,,"Arieh Worthalter, Brune Renault, Toinette Laquiere, Steve Tientcheu, Pili Groyne, Patrick Descamps, Patrick Raynal, Juliette Plumecocq-Mech, Sébastien Chassagne, Alexis Loret, Aissatou Diop","France, Belgium",2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Sci-Fi & Fantasy"
Movie,Transformer,Michael Del Monte,Janae Marie Kroczaleski,Canada,2017,TV-MA,79 min,"Documentaries, LGBTQ Movies"
TV Show,Transformers Prime,,"Peter Cullen, Sumalee Montano, Frank Welker, Jeffrey Combs, Kevin Michael Richardson, Tania Gunadi, Josh Keaton, Steve Blum, Andy Pessoa, Ernie Hudson, Daran Norris, Will Friedle",United States,2013,TV-Y7,1 Season,Kids' TV
TV Show,Transformers Rescue Bots Academy,,"Adam Andrianopolous, Pierce Cravens, Xander Crowell, Paul Guyet, Michael Hansen, Mason Hensley, Courtney Shaw, Alan Trinca, Keyon Williams, Andy Zou",United States,2020,TV-Y,2 Seasons,Kids' TV
TV Show,Transformers: Cyberverse,,"Sophia Isabella, Jeremy Levy, Jacob Tillman, Ryan Andes, Deanna McGovern, Dick Terhune",,2020,TV-Y7,2 Seasons,Kids' TV
TV Show,Transformers: Rescue Bots,,"Lacey Chabert, Elan Garfias, Maurice LaMarche, Jason Marsden, Shannon McKain, Steve Blum, Parvesh Cheena, D.C. Douglas, Imari Williams, LeVar Burton, Diamond White","Canada, United States",2016,TV-Y7,1 Season,Kids' TV
TV Show,Transformers: Robots in Disguise,,"Will Friedle, Darren Criss, Constance Zimmer, Khary Payton, Mitchell Whitfield, Stuart Allan, Ted McGinley, Peter Cullen",United States,2016,TV-Y7,1 Season,Kids' TV
TV Show,Transformers: War For Cybertron Trilogy,,"Jake Foushee, Jason Marnocha, Linsay Rousseau, Joe Zieja, Frank Todaro, Bill Rogers, Keith Silverstein, Edward Bosco",United States,2020,TV-14,1 Season,Anime Series
TV Show,Transformers: War for Cybertron: Earthrise,,"Jake Foushee, Jason Marnocha, Linsay Rousseau, Joe Zieja, Frank Todaro, Bill Rogers, Keith Silverstein, Edward Bosco, Tessho Genda, Ryohei Kimura, Kikuko Inoue, Kazuhiko Inoue, Chafurin",,2020,TV-Y7,1 Season,Anime Series
Movie,Trash,Stephen Daldry,"Wagner Moura, Martin Sheen, Rooney Mara, Selton Mello, José Dumont, Nelson Xavier, Eduardo Luis, Gabriel Weinstein, Rickson Tevez","United Kingdom, Brazil, Germany",2014,R,114 min,"Dramas, Independent Movies, Thrillers"
Movie,Trash Fire,Richard Bates Jr.,"Adrian Grenier, Angela Trimbur, AnnaLynne McCord, Fionnula Flanagan, Matthew Gray Gubler, Ray Santiago, Sally Kirkland, Ezra Buzzington",United States,2016,R,94 min,"Comedies, Dramas, Independent Movies"
TV Show,Trash Truck,,"Henry Keane, Glen Keane, Lucas Neff, Brian Baumgartner, Jackie Loeb, Olive Keane",,2020,TV-Y,1 Season,Kids' TV
Movie,Travel Mates 2,Bedran Güzel,"Oğuzhan Koç, İbrahim Büyükak, Ezgi Eyüboğlu, Olgun Toker, Kadir Polatçi, Aycan Koptur, Bahar Şahin, Kıvanç Baran Arslan",Turkey,2018,TV-MA,111 min,"Comedies, International Movies"
TV Show,Travelers,,"Eric McCormack, MacKenzie Porter, Nesta Cooper, Jared Paul Abrahamson, Reilly Dolman, Patrick Gilmore","Canada, United States",2018,TV-MA,3 Seasons,"Crime TV Shows, International TV Shows, TV Dramas"
Movie,Travis Scott: Look Mom I Can Fly,White Trash Tyler,Travis Scott,United States,2019,TV-MA,85 min,"Documentaries, Music & Musicals"
Movie,Tread,Paul Solet,,United States,2019,TV-MA,88 min,Documentaries
Movie,Treasures from the Wreck of the Unbelievable,Sam Hobkinson,,United Kingdom,2017,TV-G,82 min,"Documentaries, Dramas, International Movies"
TV Show,Tree House Tales,,"Renu Sharda, Sonal Kaushal, Shiney Prakash, Sumriddhi Shukla",,2019,TV-Y,1 Season,Kids' TV
Movie,Tree Man,"Jon Reiner, Brad Rothschild",,Canada,2015,TV-PG,82 min,Documentaries
TV Show,Treehouse Detectives,,"Brody Allen, Jenna Davis, Ryan Bartley, Philece Sampler, Leigh Kelly, Abby Trott","South Korea, United States",2018,TV-Y,2 Seasons,"Kids' TV, TV Thrillers"
Movie,Tremors,Ron Underwood,"Kevin Bacon, Fred Ward, Finn Carter, Michael Gross, Reba McEntire, Robert Jayne, Charlotte Stewart, Tony Genaro, Ariana Richards, Richard Marcus, Victor Wong, Bibi Besch",United States,1990,PG-13,96 min,"Comedies, Cult Movies, Horror Movies"
Movie,Tremors 2: Aftershocks,S.S. Wilson,"Fred Ward, Chris Gartin, Helen Shaver, Michael Gross, Marcelo Tubert, Marco Hernandez, José Ramón Rosario, Thomas Rosales Jr.",,1995,PG-13,100 min,"Comedies, Horror Movies, Sci-Fi & Fantasy"
Movie,Tremors 3: Back to Perfection,Brent Maddock,"Michael Gross, Shawn Christian, Susan Chuang, Charlotte Stewart, Ariana Richards, Tony Genaro, Barry Livingston, John Pappas, Jason Hopkins",United States,2001,PG,104 min,"Comedies, Horror Movies, Sci-Fi & Fantasy"
Movie,Tremors 4: The Legend Begins,S.S. Wilson,"Michael Gross, Sara Botsford, Billy Drago, Brent Roam, August Schellenberg, J.E. Freeman, Ming Lo, Lydia Look, Sam Ly, Neil Kopit",United States,2004,PG-13,101 min,"Comedies, Horror Movies, Sci-Fi & Fantasy"
Movie,Tremors 5:  Bloodline,Don Michael Paul,"Michael Gross, Jamie Kennedy, Ernest Ndhlovu, Lawrence Joffe, Zak Hendrikz, Natalie Becker, Emmanuel Castis, Brandon Auret, Daniel Janks","South Africa, United States",2015,PG-13,99 min,"Comedies, Horror Movies, Sci-Fi & Fantasy"
Movie,Tremors 6: A Cold Day in Hell,Don Michael Paul,"Michael Gross, Jamie Kennedy, Tanya van Graan, Jamie-Lee Money, Stephanie Schildknecht, Greg Kriek, Jenna Upton, Jay Anstey, Christie Peruso","United States, South Africa",2018,PG-13,98 min,"Action & Adventure, Comedies, Horror Movies"
Movie,Tremors: Shrieker Island,Don Michael Paul,"Michael Gross, Jon Heder, Caroline Langrishe, Cassie Clare, Matthew Douglas, Sahajak Boonthanakit, David Asavanond, Jackie Cruz, Richard Brake",United States,2020,PG-13,102 min,"Action & Adventure, Horror Movies"
Movie,Trespass Against Us,Adam Smith,"Michael Fassbender, Brendan Gleeson, Lyndsey Marshal, Georgie Smith, Rory Kinnear, Killian Scott, Sean Harris, Kingsley Ben-Adir, Kacie Anderson, Gerard Kearns",United Kingdom,2016,R,100 min,Dramas
Movie,Trevor Noah: Afraid of the Dark,David Paul Meyer,Trevor Noah,United States,2017,TV-14,67 min,Stand-Up Comedy
Movie,Trevor Noah: Son of Patricia,David Paul Meyer,Trevor Noah,United States,2018,TV-MA,64 min,Stand-Up Comedy
TV Show,Triad Princess,,"Eugenie Liu, Jasper Liu, Cecilia Choi, Tien Hsin, Michael JQ Huang, Chang Zhang-xing, Hung Yan-siang, Tsao Yu-ning, Chang Shu-wei, Lee Lee-zen",,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Romantic TV Shows"
TV Show,Trial 4,,,United States,2020,TV-MA,1 Season,"Crime TV Shows, Docuseries"
TV Show,Trial By Media,,,United States,2020,TV-MA,1 Season,"Crime TV Shows, Docuseries"
Movie,Tribhanga - Tedhi Medhi Crazy,Renuka Shahane,"Kajol, Tanvi Azmi, Mithila Palkar, Kunaal Roy Kapur, Vaibhav Tatwawaadi, Kanwaljeet Singh, Manav Gohil, Shweta Mehendale",,2021,TV-MA,96 min,"Dramas, International Movies"
TV Show,Trigger Warning with Killer Mike,,Killer Mike,,2019,TV-MA,1 Season,"Docuseries, Stand-Up Comedy & Talk Shows"
Movie,"Trikal (Past, Present, Future)",Shyam Benegal,"Leela Naidu, Neena Gupta, Anita Kanwar, Soni Razdan, Dalip Tahil, K.K. Raina, Kunal Kapoor, Keith Stevenson, Naseeruddin Shah, Kulbhushan Kharbanda",India,1985,TV-14,134 min,"Comedies, Dramas, Independent Movies"
Movie,Trimurti,Mukul Anand,"Anil Kapoor, Shah Rukh Khan, Jackie Shroff, Satyendra Kapoor, Gautami, Tinnu Anand, Saeed Jaffrey, Anirudh Agarwal, Mohan Agashe, Himani Shivpuri, Priya Tendulkar, Anjali Jathar, Anang Desai, Pramod Moutho, Subhash Ghai",India,1995,TV-PG,173 min,"Action & Adventure, Dramas, International Movies"
TV Show,Trinkets,,"Brianna Hildebrand, Kiana Madeira, Quintessa Swindell, Brandon Butler, Odiseas Georgiadis, Henry Zaga, Larry Sullivan, Larisa Oleynik",United States,2020,TV-MA,2 Seasons,"TV Dramas, Teen TV Shows"
TV Show,Trio and a Bed,,"Annabelle Kong, Amber Chia, Carmen Soo, Danny Wan, Daniel Tan, Jeffrey Cheng",,2016,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
Movie,Trip to Bhangarh: Asia's Most Haunted Place,Jitender Pawar,"Manish Chaudhary, Suzanna Mukherjee, Piyush Raina, Rachit Behl, Rohit Chaudhury, Vikram Kochhar, Poonam Pandey",India,2014,TV-MA,113 min,"International Movies, Thrillers"
Movie,Triple 9,John Hillcoat,"Casey Affleck, Chiwetel Ejiofor, Anthony Mackie, Aaron Paul, Clifton Collins Jr., Norman Reedus, Woody Harrelson, Kate Winslet, Teresa Palmer, Michael Kenneth Williams, Gal Gadot",United States,2016,R,115 min,"Dramas, Thrillers"
Movie,Triple Frontier,J.C. Chandor,"Ben Affleck, Oscar Isaac, Charlie Hunnam, Pedro Pascal, Garrett Hedlund, Adria Arjona",United States,2019,R,126 min,Action & Adventure
Movie,Triple Threat,"Jesse V. Johnson, Jesse Johnson","Tony Jaa, Iko Uwais, Tiger Chen, Scott Adkins, Celina Jade, Michael Bisping, Michael Jai White, JeeJa Yanin, Dominiquie Vandenberg","Thailand, China, United States",2019,R,96 min,"Action & Adventure, International Movies"
Movie,Triumph of the Heart,Richard Michaels,"Mario Van Peebles, Susan Ruttan, Lane R. Davis, Lynn Whitfield, Adam Faraizl, Polly Holliday, Jay Pennison, John Schuhmacher",United States,1991,TV-PG,93 min,"Dramas, Sports Movies"
Movie,Trixie Mattel: Moving Parts,Nicholas Zeig-Owens,Brian Firkus,United States,2019,TV-MA,91 min,"Documentaries, Music & Musicals"
TV Show,Trollhunters,,"Kelsey Grammer, Anton Yelchin, Charlie Saxton, Lexi Medrano, Fred Tatasciore, Clancy Brown, Mark Hamill, Ron Perlman, Steven Yeun, Amy Landecker, Jonathan Hyde, Anjelica Huston, Lena Headey, David Bradley, Tom Kenny, Laraine Newman, Grey Griffin, James Purefoy","United States, Mexico",2018,TV-Y7,3 Seasons,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy"
Movie,Trolls Holiday Special,Joel Crawford,"Anna Kendrick, Justin Timberlake, Zooey Deschanel, Christopher Mintz-Plasse, James Corden, Ron Funches, Kunal Nayyar, Aino Jawo, Caroline Hjelt, Walt Dohrn",United States,2017,TV-Y7,27 min,"Children & Family Movies, Comedies, Music & Musicals"
TV Show,Trolls: The Beat Goes On!,,"Amanda Leighton, Skylar Astin, Ron Funches, David Fynn, David Koechner, David Kaye, Sean T. Krishnan, Sam Lerner, Patrick Pinney, Kevin Michael Richardson, Kari Wahlgren, Fryda Wolff",United States,2019,TV-Y7,8 Seasons,"Kids' TV, TV Comedies"
Movie,Trophy,"Shaul Schwarz, Christina Clusiau",,"United Kingdom, Namibia, South Africa, Zimbabwe, United States",2017,TV-MA,110 min,"Documentaries, International Movies"
TV Show,Trotro,,,France,2004,TV-Y,1 Season,Kids' TV
TV Show,Trotsky,,"Konstantin Khabenskiy, Olga Sutulova, Max Matveev, Evgeniy Stychkin, Orkhan Abulov",Russia,2017,TV-MA,1 Season,"International TV Shows, TV Dramas"
TV Show,Troy,,"Louis Hunter, Bella Dayne, Frances O'Connor, David Threlfall, Chloe Pirrie, Tom Weston-Jones, Alfred Enoch, Jonas Armstrong","United Kingdom, South Africa, Australia, United States",2018,TV-MA,1 Season,"British TV Shows, International TV Shows, Romantic TV Shows"
Movie,Troy: The Odyssey,Tekin Girgin,"Dylan Vox, Lara Heller, Hachem Hicham, David Gray, Kelly B. Jones, Daniel Whyte, Eoin O'Brien, Ego Mikitas",United States,2017,TV-MA,90 min,Action & Adventure
